City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,Jamestown,US,2022-06-19 18:22:47,42.097,-79.2353,64.06,39,0,12.66
187,Kampot,KH,2022-06-19 18:22:47,10.6167,104.1833,80.65,87,99,7.16
188,Asha,RU,2022-06-19 18:22:47,54.9973,57.2722,55.9,97,64,2.68
189,Namatanai,PG,2022-06-19 18:22:47,-3.6667,152.4333,78.01,80,21,3.09
190,Mezhdurechensk,RU,2022-06-19 18:20:01,53.6942,88.0603,55.71,97,97,4.94
191,Presidencia Roque Saenz Pena,AR,2022-06-19 18:22:48,-26.7852,-60.4388,67.84,28,0,5.79
192,Bluff,NZ,2022-06-19 18:22:48,-46.6,168.3333,41.81,82,100,3.94
193,Mount Pleasant,US,2022-06-19 18:22:01,32.7941,-79.8626,87.01,46,0,12.66
194,Okakarara,NA,2022-06-19 18:22:48,-20.5833,17.4333,61.63,34,4,9.19
195,Adrar,MR,2022-06-19 18:22:49,20.5022,-10.0711,91.99,36,68,12.68
196,Constitucion,CL,2022-06-19 18:22:49,-35.3333,-72.4167,56.01,55,100,4.61
197,Evensk,RU,2022-06-19 18:22:49,61.95,159.2333,44.55,86,100,1.28
198,Moree,AU,2022-06-19 18:22:50,-29.4667,149.85,53.29,74,100,6.73
199,Geraldton,AU,2022-06-19 18:22:50,-28.7667,114.6,52.21,93,38,8.05
200,Ihosy,MG,2022-06-19 18:22:50,-22.4,46.1167,57.52,90,0,10.29
201,Mendi,PG,2022-06-19 18:22:51,-6.1761,143.6513,52.47,96,49,3.24
202,Toowoomba,AU,2022-06-19 18:22:51,-27.55,151.9667,46.38,91,87,1.7
203,Kirkland Lake,CA,2022-06-19 18:22:51,48.1446,-80.0377,64.69,27,70,6.11
204,Alyangula,AU,2022-06-19 18:22:52,-13.8483,136.4192,72.99,91,26,9.01
205,Aykhal,RU,2022-06-19 18:22:52,66.0,111.5,40.69,70,8,14.05
206,Shenjiamen,CN,2022-06-19 18:22:52,29.9576,122.298,72.54,98,100,6.62
207,Fare,PF,2022-06-19 18:22:53,-16.7,-151.0167,79.38,73,64,22.95
208,Tuatapere,NZ,2022-06-19 18:22:53,-46.1333,167.6833,44.58,91,100,3.09
209,Hambantota,LK,2022-06-19 18:22:53,6.1241,81.1185,80.29,81,55,14.94
210,Djenne,ML,2022-06-19 18:22:53,13.9061,-4.5533,94.84,31,32,5.44
211,Yar-Sale,RU,2022-06-19 18:22:54,66.8333,70.8333,64.69,73,85,4.09
212,Mata,PT,2022-06-19 18:22:54,40.683,-7.4592,68.94,67,88,9.17
213,Jackson,US,2022-06-19 18:22:54,42.4165,-122.8345,64.92,59,40,7.0
214,Ivanteyevka,RU,2022-06-19 18:22:55,55.9711,37.9208,71.26,54,100,15.93
215,Chuy,UY,2022-06-19 18:22:55,-33.6971,-53.4616,58.73,39,32,9.66
216,Pasni,PK,2022-06-19 18:22:55,25.2631,63.471,82.27,90,9,18.75
217,Sovetskiy,RU,2022-06-19 18:22:56,61.3614,63.5842,60.69,76,55,0.96
218,Silleda,ES,2022-06-19 18:22:56,42.696,-8.2465,53.94,77,100,4.23
219,Thinadhoo,MV,2022-06-19 18:22:56,0.5333,72.9333,83.77,69,99,7.72
220,Victoria,HK,2022-06-19 18:21:06,22.2855,114.1577,85.32,87,100,13.0
221,Saint-Louis,SN,2022-06-19 18:22:57,16.3333,-15.0,89.06,46,100,8.79
222,Dikson,RU,2022-06-19 18:22:57,73.5069,80.5464,38.01,82,100,12.24
223,Ughelli,NG,2022-06-19 18:22:57,5.4899,6.0074,75.4,94,100,2.59
224,San Patricio,US,2022-06-19 18:22:58,28.017,-97.5169,95.72,37,91,13.91
225,Alto Araguaia,BR,2022-06-19 18:22:58,-17.3147,-53.2153,83.62,41,0,6.46
226,Umm Kaddadah,SD,2022-06-19 18:22:58,13.6017,26.6876,95.36,14,82,6.96
227,Aksarka,RU,2022-06-19 18:22:59,66.5606,67.7975,60.1,90,94,3.02
228,Chaman,PK,2022-06-19 18:22:59,30.9236,66.4512,78.8,11,0,5.53
229,Srednekolymsk,RU,2022-06-19 18:22:59,67.45,153.6833,58.82,49,96,13.22
230,Ahuimanu,US,2022-06-19 18:24:00,21.4447,-157.8378,80.37,66,40,11.5
231,Cape Town,ZA,2022-06-19 18:20:55,-33.9258,18.4232,57.11,76,0,11.5
232,Vila Do Maio,CV,2022-06-19 18:24:00,15.1333,-23.2167,77.79,89,94,5.32
233,Ibipeba,BR,2022-06-19 18:24:00,-11.6408,-42.0111,88.14,18,7,10.65
234,Pacific Grove,US,2022-06-19 18:24:01,36.6177,-121.9166,73.35,71,0,8.05
235,Bardiyah,LY,2022-06-19 18:24:01,31.7561,25.0865,75.0,66,0,11.07
236,Comodoro Rivadavia,AR,2022-06-19 18:24:01,-45.8667,-67.5,40.86,60,0,13.8
237,Houma,US,2022-06-19 18:24:02,29.5958,-90.7195,95.0,69,0,9.22
238,Oriximina,BR,2022-06-19 18:19:21,-1.7656,-55.8661,88.34,52,72,8.34
239,Usinsk,RU,2022-06-19 18:24:02,65.9939,57.5281,58.68,68,99,7.81
240,Pingliang,CN,2022-06-19 18:24:03,35.5392,106.6861,66.74,74,70,1.7
241,Lavrentiya,RU,2022-06-19 18:24:03,65.5833,-171.0,51.4,51,15,3.09
242,Akdepe,TM,2022-06-19 18:24:04,42.0551,59.3788,78.89,25,27,5.61
243,Sinnamary,GF,2022-06-19 18:24:04,5.3833,-52.95,78.24,84,100,4.09
244,Waingapu,ID,2022-06-19 18:24:05,-9.6567,120.2641,76.15,83,100,8.08
245,Nova Olinda Do Norte,BR,2022-06-19 18:24:05,-3.8881,-59.0942,91.69,44,20,4.29
246,Victor Harbor,AU,2022-06-19 18:24:06,-35.5667,138.6167,55.69,67,63,17.98
247,Acarau,BR,2022-06-19 18:24:06,-2.8856,-40.12,84.56,66,77,13.85
248,Saint-Francois,FR,2022-06-19 18:24:06,46.4154,3.9054,90.84,25,0,13.8
249,Keti Bandar,PK,2022-06-19 18:24:07,24.1447,67.4497,83.88,81,6,18.95
250,Loiza,PR,2022-06-19 18:24:07,18.4313,-65.8802,91.81,65,40,19.57
251,Vanderhoof,CA,2022-06-19 18:20:10,54.0166,-124.0198,62.89,52,51,9.15
252,Orel,RU,2022-06-19 18:24:08,52.9658,36.0803,66.92,83,81,13.06
253,Jingdezhen,CN,2022-06-19 18:24:08,29.2947,117.2079,73.62,99,100,4.72
254,Ilulissat,GL,2022-06-19 18:24:09,69.2167,-51.1,42.82,65,0,8.05
255,Kaitangata,NZ,2022-06-19 18:24:13,-46.2817,169.8464,43.72,88,100,2.8
256,Meulaboh,ID,2022-06-19 18:24:14,4.1363,96.1285,77.61,85,99,3.04
257,Matay,EG,2022-06-19 18:24:14,28.419,30.7792,88.9,16,4,10.6
258,Cassilandia,BR,2022-06-19 18:24:14,-19.1133,-51.7342,82.11,48,1,3.65
259,Luanda,AO,2022-06-19 18:20:05,-8.8368,13.2343,73.4,68,20,8.05
260,Hvolsvollur,IS,2022-06-19 18:24:15,63.7533,-20.2243,50.67,97,100,10.0
261,Mantua,IT,2022-06-19 18:24:15,45.1667,10.7833,89.35,49,1,3.0
262,Margate,GB,2022-06-19 18:24:16,51.3813,1.3862,58.87,75,77,5.01
263,Kurilsk,RU,2022-06-19 18:24:16,45.2333,147.8833,51.55,96,100,5.73
264,Mastic Beach,US,2022-06-19 18:24:17,40.7668,-72.8521,72.99,39,0,18.41
265,Halifax,CA,2022-06-19 18:22:23,44.6453,-63.5724,65.52,75,2,10.0
266,Tual,ID,2022-06-19 18:24:17,-5.6667,132.75,76.51,89,100,2.89
267,Vostok,RU,2022-06-19 18:24:18,46.4856,135.8833,49.91,97,56,3.42
268,Pozo Colorado,PY,2022-06-19 18:24:18,-23.4923,-58.7972,63.18,44,83,4.47
269,Villa Carlos Paz,AR,2022-06-19 18:19:27,-31.4241,-64.4978,67.28,16,68,11.01
270,Inuvik,CA,2022-06-19 18:19:24,68.3499,-133.7218,49.06,71,75,12.66
271,Tessalit,ML,2022-06-19 18:24:19,20.1986,1.0114,97.57,19,94,2.55
272,Madang,PG,2022-06-19 18:25:19,-5.2246,145.7966,75.0,91,18,3.42
273,Ossora,RU,2022-06-19 18:25:20,59.2353,163.0719,47.73,85,97,3.8
274,Voznesenye,RU,2022-06-19 18:25:20,61.0106,35.4781,55.13,81,8,13.04
275,Palana,RU,2022-06-19 18:25:20,59.1167,159.9667,40.8,97,100,8.57
276,Kavieng,PG,2022-06-19 18:25:21,-2.5744,150.7967,80.62,78,37,6.2
277,Atlantic City,US,2022-06-19 18:25:21,39.3643,-74.4229,73.18,38,0,17.34
278,Svetlyy,RU,2022-06-19 18:25:21,54.675,20.1347,60.85,94,85,11.97
279,Upernavik,GL,2022-06-19 18:25:22,72.7868,-56.1549,34.57,90,33,12.75
280,Russell,US,2022-06-19 18:25:22,32.3502,-85.1999,92.12,37,20,10.36
281,George,ZA,2022-06-19 18:25:22,-33.963,22.4617,49.55,93,40,2.3
282,Guerrero Negro,MX,2022-06-19 18:25:23,27.9769,-114.0611,73.45,50,2,15.32
283,Polignano A Mare,IT,2022-06-19 18:25:23,40.9959,17.2159,79.11,64,0,2.64
284,Lebu,CL,2022-06-19 18:25:23,-37.6167,-73.65,54.61,75,100,10.51
285,San Rafael,AR,2022-06-19 18:25:24,-34.6177,-68.3301,57.97,21,83,10.13
286,Pulandian,CN,2022-06-19 18:25:24,39.3953,121.9669,67.82,96,65,9.35
287,Saint Paul,US,2022-06-19 18:25:25,44.9444,-93.0933,90.84,50,0,16.11
288,Armilla,ES,2022-06-19 18:25:25,37.141,-3.6185,86.14,33,0,10.36
289,Alamogordo,US,2022-06-19 18:25:26,32.8995,-105.9603,90.21,34,0,9.22
290,Prabumulih,ID,2022-06-19 18:25:26,-3.45,104.25,72.59,99,95,2.08
291,Nantucket,US,2022-06-19 18:25:26,41.2835,-70.0995,60.91,74,100,16.11
292,Madimba,TZ,2022-06-19 18:25:27,-10.4,40.3333,70.92,88,20,11.5
