City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
450,Excelsior Springs,US,77.97,clear sky,39.3392,-94.2261,The Elms Hotel & Spa
452,Assiniboia,CA,75.02,clear sky,49.6334,-105.9845,Canalta Hotel Assiniboia
453,Kushima,JP,75.83,broken clouds,31.4583,131.2333,Hanaoka
456,Erzin,TR,71.37,few clouds,36.9559,36.2,Artemis Otel
458,Tuni,IN,79.99,broken clouds,17.35,82.55,Sai Krishna Lodge
460,Sao Filipe,CV,74.79,scattered clouds,14.8961,-24.4956,Hotel Xaguate
461,Puerto Baquerizo Moreno,EC,76.19,broken clouds,-0.9,-89.6,Hotel los Algarrobos
464,Mahajanga,MG,73.42,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
465,Lodja,CD,73.76,scattered clouds,-3.4833,23.4333,
466,Kabala,SL,72.73,light rain,9.5833,-11.55,Kabala Hill View
469,Salinopolis,BR,79.92,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
471,West Plains,US,81.91,scattered clouds,36.7281,-91.8524,West Plains Motel
475,Elat,IL,87.64,clear sky,29.5581,34.9482,Club Hotel Eilat
479,Vanimo,PG,76.62,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
482,Chikhli,IN,77.34,overcast clouds,20.35,76.25,HOTEL GULMOHAR
484,Swift Current,CA,74.21,few clouds,50.2834,-107.8014,"Motel 6 Swift Current, SK"
490,Mlonggo,ID,76.69,overcast clouds,-6.5333,110.7,Asia Metal Art
495,Katobu,ID,73.44,broken clouds,-4.9408,122.5276,La Ode Husein
496,Hambantota,LK,79.2,overcast clouds,6.1241,81.1185,Bungalow 63
498,San Mateo Del Mar,MX,87.31,broken clouds,16.2,-95.0,
499,Harper,LR,77.23,broken clouds,4.375,-7.7169,Screensaver
502,Merauke,ID,78.04,overcast clouds,-8.4667,140.3333,
503,Mastic Beach,US,85.15,overcast clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
508,Whitehorse,CA,74.17,scattered clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
510,Birao,CF,75.83,overcast clouds,10.2849,22.7882,
511,Broome,US,86.7,overcast clouds,42.2506,-75.833,Chenango Valley State Park
513,Uribia,CO,87.84,overcast clouds,11.7139,-72.266,Hotel Uribia
517,Nisia Floresta,BR,77.81,few clouds,-6.0911,-35.2086,Rancho Crepusculo
523,Karema,TZ,70.48,clear sky,-6.8205,30.4389,
528,Xinmin,CN,71.22,moderate rain,41.9908,122.8253,Agricultural Machinery Hotel
529,Najran,SA,84.2,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
531,Poso,ID,76.28,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
535,Port Hawkesbury,CA,71.96,scattered clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
536,Gizo,SB,81.66,overcast clouds,-8.103,156.8419,Imagination Island
539,Yuzhou,CN,78.06,overcast clouds,34.1628,113.4639,Hancheng Wen Yuan Ge Hotel
541,Zumpango,MX,76.75,overcast clouds,19.7978,-99.1017,Hotel Familiar San Lorenzo
543,Kandrian,PG,78.26,light rain,-6.2167,149.55,Kandrian Station
544,Griffith,US,80.26,clear sky,41.5284,-87.4237,Apartment above Depot Bar
549,Ivanava,BY,70.63,overcast clouds,52.1451,25.5365,Bed&Breakfast Valeria
551,Kuching,MY,75.42,few clouds,1.55,110.3333,Hilton Kuching
555,Yashkul,RU,79.21,overcast clouds,46.1711,45.3435,"Gostinitsa ""Putnik"""
557,Sweetwater,US,86.99,few clouds,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
562,Jiuquan,CN,71.4,overcast clouds,39.7432,98.5174,Jiuquan Hotel
564,Abengourou,CI,71.62,overcast clouds,6.7297,-3.4964,Hotel des Princes
569,Afua,BR,78.71,broken clouds,-0.1567,-50.3867,Hotel Dias
571,Thinadhoo,MV,83.03,overcast clouds,0.5333,72.9333,
572,Rapid Valley,US,76.44,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
574,Tomatlan,MX,83.95,overcast clouds,19.9333,-105.25,El Salvial
575,Ingham,US,82.35,clear sky,42.6,-84.3833,Sunset Mobile Home Park
576,Amalapuram,IN,80.51,overcast clouds,16.5833,82.0167,swayamprabha service apartments
577,Esna,EG,86.27,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
578,Palmerston,AU,76.98,clear sky,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
580,Tucuma,BR,78.94,scattered clouds,-0.1833,-50.05,
582,Umm Lajj,SA,83.05,clear sky,25.0213,37.2685,Moon light Furnished Units
584,Bonthe,SL,78.96,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
587,Atasu,KZ,71.15,clear sky,48.6814,71.6433,Dostyk
588,Vao,NC,72.93,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
589,Acari,PE,71.49,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
592,Sandpoint,US,82.65,clear sky,48.2766,-116.5533,Hotel Ruby Sandpoint/Ponderay
593,Show Low,US,70.66,thunderstorm with rain,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
594,Dicabisagan,PH,78.13,moderate rain,17.0818,122.4157,Nancy Montanes Bernardo
